Credit Card Name,Bank,Network 1,Network 2,Network 3,Network 4
Bajaj Finance Easysaver Super Card,Bajaj Finance,Visa Classic,Mastercard Standard,,
Intermiles HDFC Bank Platinum Credit Card,HDFC Bank,Visa Platinum,,,
Axis Bank Vistara Signature Credit Card,Axis Bank,Visa Signature,,,
Axis Bank MY Zone Credit Card,Axis Bank,Visa Platinum,Mastercard Standard,,
PSB SimplySAVE SBI Card,Punjab and Sindh Bank,Rupay Platinum,Visa Classic,,
UNI Carbon Credit Card.,Union Bank of India,Rupay Platinum,,,
Equitas Elegance Credit Card,Equitas Small Finance Bank,Visa Platinum,,,
HDFC Bank Business Regalia First Credit Card,HDFC Bank,Visa Signature,,,
Air India SBI Signature Card,State Bank of India,Visa Signature,,,
American Express Platinum Travel Credit Card,American Express,American Express Platinum,,,
Bajaj Finance Platinum LifeEasy SuperCard,Bajaj Finance,Mastercard Platinum,Visa Platinum,,
IndusInd Pioneer Legacy Credit Card,IndusInd Bank,Visa Signature,Mastercard World Elite,,
PNB Rupay Millennial Card,Punjab National Bank,Rupay Platinum,,,
Spar SBI Card Prime,State Bank of India,Visa Signature,,,
Yes Prosperity Reward Plus Credit Card,Yes Bank,Mastercard Platinum,,,
Flipkart Wholesale HDFC Bank Credit Card,HDFC Bank,Diners Club International,,,
AU Zenith Credit Card ,AU Small Finance Bank,Visa Infinite,,,
Eterna Bobcard,Bank of Baroda,Mastercard World,,,
RBL Bank Binge Credit Card     ,RBL Bank,Mastercard World,,,
American Express Gold Charge Card,American Express,American Express Standard,,,
Yes Bank Card Anq Phi Credit Card,Yes Bank,Mastercard World,Rupay Platinum,,
CITI Prestige Credit Card,Citi Bank,Visa Infinite,,,
HDFC Bank Biz Power Credit Card,HDFC Bank,Visa Signature,Rupay Platinum,Mastercard World,
KVB SBI Signature Card,Karur Vysya Bank,SBI Signature,,,
Karnataka Bank SBI Card Prime,Karnataka Bank,Visa Signature ,SBI Select,,
UCO Bank SBI Card Elite,State Bank of India,Rupay Platinum,,,
Kotak IndiGo 6E Rewards Credit Card ,Kotak Mahindra Bank,Visa Platinum,,,
Indian Navy Varunah Premium Bobcard,Bank of Baroda,Rupay Platinum,Visa Signature,,
Kotak Zen Signature Credit Card,Kotak Mahindra Bank,Visa Signature,,,
Standard Chartered Rewards Credit Card,Standard Chartered,Mastercard World,,,
IndianOil Axis Bank Credit Card,Axis Bank,Rupay Platinum,Visa Platinum,,
CMA One Bobcard,Bank of Baroda,Mastercard Standard,Rupay Platinum,,
Bajaj Finance Platinum Advantage SuperCard,Bajaj Finance,Mastercard Platinum,Visa Platinum,,
